ʐ	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ɕ	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1
ʑ	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
ɸ	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
β	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
f	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1
v	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
θ	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
ð	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ç	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ʝ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
x	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ɣ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
χ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ʁ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ħ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ʕ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
h	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ɦ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ʋ	0	0	0	0	0.875	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
ɹ	0	0	0	0	0.875	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ɻ	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
j	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ɰ	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ⱱ	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0
ɾ	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ɽ	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ʙ	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
r	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ʀ	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ʜ	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
ʢ	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ɬ	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
ɮ	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ꞎ	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
𝼅	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
𝼆	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
𝼄	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
l	0	0	0	0	0.875	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ɭ	0	0	0	0	0.875	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ʎ	0	0	0	0	0.875	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ʟ	0	0	0	0	0.875	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ɺ	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
𝼈	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
ɥ	0	0	0	0	0.875	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ʍ	0	0	0	0	0.875	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
w	0	0	0	0	0.875	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ɫ	0	0	0	0	0.875	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
